,date,gap,gap_direction,filled
175,2019-01-11,-1.5,down,False
176,2019-01-14,-2.009999999999991,down,False
177,2019-01-15,0.6099999999999568,up,False
178,2019-01-16,0.5600000000000023,up,False
179,2019-01-17,-0.9200000000000159,down,True
180,2019-01-18,2.009999999999991,up,False
181,2019-01-22,-1.7200000000000273,down,False
182,2019-01-23,1.1399999999999864,up,True
183,2019-01-24,-0.06999999999999318,down,True
184,2019-01-25,2.1299999999999955,up,False
185,2019-01-28,-2.330000000000041,down,False
186,2019-01-29,0.1099999999999568,up,True
187,2019-01-30,1.7600000000000477,up,False
188,2019-01-31,0.25,up,False
189,2019-02-01,0.05000000000001137,up,True
190,2019-02-04,0.06999999999999318,up,True
191,2019-02-05,0.5200000000000387,up,True
192,2019-02-06,-0.3299999999999841,down,True
193,2019-02-07,-1.839999999999975,down,False
194,2019-02-08,-1.3999999999999773,down,True
195,2019-02-11,0.8000000000000114,up,True
196,2019-02-12,2.0200000000000387,up,False
197,2019-02-13,1.0199999999999818,up,False
198,2019-02-14,-1.0300000000000296,down,True
199,2019-02-15,1.9399999999999977,up,False
200,2019-02-19,-0.9300000000000068,down,True
201,2019-02-20,0.06999999999999318,up,True
202,2019-02-21,-0.6099999999999568,down,False
203,2019-02-22,0.5900000000000318,up,False
204,2019-02-25,1.6900000000000546,up,False
205,2019-02-26,-0.39999999999997726,down,True
206,2019-02-27,-0.6499999999999773,down,True
207,2019-02-28,-0.4399999999999977,down,True
208,2019-03-01,1.829999999999984,up,False
209,2019-03-04,1.1200000000000045,up,True
210,2019-03-05,0.20000000000004547,up,True
211,2019-03-06,0.08999999999997499,up,True
212,2019-03-07,-0.6299999999999955,down,False
213,2019-03-08,-2.1899999999999977,down,False
214,2019-03-11,0.7199999999999704,up,False
215,2019-03-12,0.6700000000000159,up,False
216,2019-03-13,1.1000000000000227,up,False
217,2019-03-14,0.05000000000001137,up,True
218,2019-03-15,-0.5299999999999727,down,True
219,2019-03-18,0.339999999999975,up,False
220,2019-03-19,1.009999999999991,up,True
